cat	year	split			URL	Final AGENT	Final EVENTS	Final WORLD	Final Composite	3rd person	Adjudicated AGENTS	Adjudicated EVENTS	Adjudicated WORLD	MEAN	STDEV	Agents mean	Events mean	World mean	Agents std	Events std	World std	A1 average	A1 agents	A1 events	A1 world	A2 average	A2 agents	A2 events	A2 world	A3 average	A3 agents	A3 events	A3 world
Billboard	1999	train	702	Where My Girls At?	https://www.azlyrics.com/lyrics/702/wheremygirlsat.html	3.33	2	2	2.443					2.44	0.63	3.33	2	2	0.94	1.41	1.41	2	4	1	1	2	4	1	1	3.33	2	4	4
Billboard	1982	train	.38 Special	Caught Up In You	https://www.azlyrics.com/lyrics/38special/caughtupinyou.html	3.33	2	1	2.110					2.11	0.16	3.33	2	1	0.47	0	0	2	3	2	1	2	3	2	1	2.33	4	2	1
Billboard	2005	train	50 Cent	Disco Inferno	https://www.azlyrics.com/lyrics/50cent/discoinferno.html	3	2	4	3.000		3	2	4	3.56	1.4	4	3.33	3.33	0.82	1.7	1.7	5	5	5	5	1.67	3	1	1	4	4	4	4
Billboard	2005	train	50 Cent featuring Mobb Deep	Outta Control	https://www.azlyrics.com/lyrics/50cent/outtacontrol.html	4	3.33	4	3.777					3.78	0.96	4	3.33	4	0.82	1.25	0.82	2.67	3	2	3	3.67	4	3	4	5	5	5	5
Grammy_NOM	1968	train	5th Dimension	Up, Up and Away	https://www.azlyrics.com/lyrics/5thdimension/upupandaway.html	2.667	1.667	3.333	2.556					2.556	0.416	2.667	1.667	3.333	1.247	0.471	0.471	3	4	2	3	2.67	3	1	4	2	1	2	3
Grammy_ALT	1968	test	5th Dimension	Go Where You Wanna Go	https://www.azlyrics.com/lyrics/5thdimension/gowhereyouwannago.html	3.333	1.333	1	1.889					1.889	0.314	3.333	1.333	1	0.471	0.471	0	1.67	3	1	1	2.33	4	2	1	1.67	3	1	1
Billboard	1997	test	98 Degrees	Invisible Man	https://www.azlyrics.com/lyrics/98degrees/invisibleman.html	3	4	1	2.667		3	4	1	3	1.09	3.67	3.33	2	0.47	1.7	1.41	1.67	3	1	1	3	4	4	1	4.33	4	5	4
Billboard	1999	train	98 Degrees	The Hardest Thing	https://www.azlyrics.com/lyrics/98degrees/thehardestthing.html	4	2	1	2.333		4	2	1	2.78	1.1	4	2.67	1.67	0.82	1.7	0.94	2	3	2	1	2	4	1	1	4.33	5	5	3
Billboard	2014	test	A Great Big World and Christina Aguilera	Say Something	https://www.azlyrics.com/lyrics/greatbigworld/saysomething.html	3.67	1.33	1	2.000					2	0.27	3.67	1.33	1	0.47	0.47	0	1.67	3	1	1	2	4	1	1	2.33	4	2	1
Billboard	2002	dev	Aaliyah	More Than A Woman	https://www.azlyrics.com/lyrics/aaliyah/morethanawoman.html	3	1.33	2	2.110					2.11	0.42	3	1.33	2	0.82	0.47	1.41	1.67	3	1	1	2	4	1	1	2.67	2	2	4
Billboard	2013	train	Ace Hood featuring Future and Rick Ross	Bugatti	https://www.azlyrics.com/lyrics/acehood/bugatti.html	5	2	4	3.667		5	2	4	3.67	1.09	4.33	3.33	3.33	0.94	1.7	1.7	3.67	3	4	4	2.33	5	1	1	5	5	5	5
Grammy_ALT	2023	train	Adele	Can I Get it	https://www.azlyrics.com/lyrics/adele/canigetit.html	4.33	3	1.67	3.000					3	0.47	4.33	3	1.67	0.47	0.82	0.47	3.67	5	4	2	2.67	4	3	1	2.67	4	2	2
Grammy_NOM	2009	train	Adele	Chasing Pavements	https://www.azlyrics.com/lyrics/adele/chasingpavements.html	5	1	1	2.333		5	1	1	3	1.36	4	2.67	2.33	1.41	1.7	1.25	1.33	2	1	1	3	5	2	2	4.67	5	5	4
Grammy_NOM	2023	train	Adele	Easy on Me	https://www.azlyrics.com/lyrics/adele/easyonme.html	4.67	3.67	3	3.780					3.78	0.42	4.67	3.67	3	0.47	0.47	1.41	3.67	4	3	4	3.33	5	4	1	4.33	5	4	4
Grammy_NOM	2017	train	Adele	Hello	https://www.azlyrics.com/lyrics/adele/hello.html	4.67	3.67	3.67	4.003					4	0.47	4.67	3.67	3.67	0.47	1.25	1.25	3.67	4	2	5	3.67	5	4	2	4.67	5	5	4
Grammy_ALT	2009	train	Adele	Right as Rain	https://www.azlyrics.com/lyrics/adele/rightasrain.html	3	3	1.67	2.557					2.56	0.31	3	3	1.67	1.41	0.82	0.94	2.33	2	4	1	3	5	3	1	2.33	2	2	3
Grammy_NOM	2012	dev	Adele	Rolling in the Deep	https://www.azlyrics.com/lyrics/adele/rollinginthedeep.html	4.33	2.33	2.67	3.110					3.11	0.31	4.33	2.33	2.67	0.47	0.47	0.47	2.67	4	2	2	3.33	5	2	3	3.33	4	3	3
Billboard	2012	train	Adele	Someone like You	https://www.azlyrics.com/lyrics/adele/someonelikeyou.html	5	4.33	4	4.443					4.44	0.42	5	4.33	4	0	0.94	0.82	4	5	3	4	5	5	5	5	4.33	5	5	3
Grammy_ALT	2012	train	Adele	Take it All	https://www.azlyrics.com/lyrics/adele/takeitall.html	4	3.33	1.33	2.887					2.89	0.31	4	3.33	1.33	0	0.47	0.47	2.67	4	3	1	2.67	4	3	1	3.33	4	4	2
Grammy_ALT	2017	train	Adele	When We Were Young	https://www.azlyrics.com/lyrics/adele/whenwewereyoung.html	4.67	5	4	4.557					4.56	0.31	4.67	5	4	0.47	0	0.82	4.33	4	5	4	4.33	5	5	3	5	5	5	5
Billboard	1973	train	Al Green	Here I Am (Come and Take Me)	https://www.azlyrics.com/lyrics/algreen/hereiamcomeandtakeme.html	3.33	2	1	2.110					2.11	0.31	3.33	2	1	0.47	0.82	0	2.33	3	3	1	1.67	3	1	1	2.33	4	2	1
Billboard	1971	train	Al Green	Tired of Being Alone	https://www.azlyrics.com/lyrics/algreen/tiredofbeingalone.html	3.33	1.67	1.33	2.110					2.11	0.63	3.33	1.67	1.33	0.47	0.94	0.47	1.67	3	1	1	1.67	3	1	1	3	4	3	2
Grammy_ALT	2003	train	Alan Jackson	Drive	https://www.azlyrics.com/lyrics/alanjackson/drivefordaddygene.html	4.67	4.67	5	4.780	0				4.78	0.31	4.67	4.67	5	0.47	0.47	0	5	5	5	5	4.33	4	4	5	5	5	5	5
Grammy_NOM	2003	train	Alan Jackson	Where Were You (When the World Stopped Turning)	https://www.azlyrics.com/lyrics/alanjackson/wherewereyouwhentheworldstoppedturning.html	4	3	5	4.000					4	0.72	4	3	5	0.82	1.63	0	3.33	4	1	5	5	5	5	5	3.67	3	3	5
